,Title,Published_date,Views,Comment,Month,Year
0,YOU WILL FILL THE GAP || PST. INNOCENT ELEKE || SUNDAY SERVICE || 19TH NOV. 2023,2023-11-19,98,0,Nov,2023
1,FILLING THE GAPS || PST. INNOCENT ELEKE || SUNDAY SERVICE || 12TH NOV. 2023,2023-11-12,99,0,Nov,2023
2,WHERE DO YOU SLEEP? | Discover another place we can sleep as Christians  #shortsviral #jesusonly,2023-11-09,205,1,Nov,2023
3,FILLING THE GAPS || PST. INNOCENT ELEKE || SUNDAY SERVICE || 5TH NOV. 2023,2023-11-05,111,3,Nov,2023
4,DR. ODII ELIJAH || 29TH OCT. 2023,2023-10-29,196,1,Oct,2023
5,EPHPHATHA || PRAYER MEETING || PST. INNOCENT ELEKE || 28TH OCT. 2023,2023-10-28,125,0,Oct,2023
6,BALANCING FAITH AND REALITY #jesusonly #shortsviral #shortsfeed,2023-10-28,222,0,Oct,2023
7,CLEANSED || MID WEEK SERVICE || PST. INNOCENT ELEKE || 25TH OCT. 2023,2023-10-26,106,0,Oct,2023
8,Discover the Secrets to Maximizing the Holy Spirit in Your Life | PST. INNOCENT ELEKE,2023-10-24,148,5,Oct,2023
9,PARTAKERS || SUNDAY SERVICE || PST. INNOCENT ELEKE || 22ND OCT. 2023,2023-10-22,209,0,Oct,2023
10,HOUSE OF PRAYER || PRAYER MEETING || BRO. SAM LEKWA || 21ST OCT. 2023,2023-10-21,85,0,Oct,2023
11,ARE YOU REALLY IN CHARGE OF YOUR HABITS? #religion #jesusonly #shorts #shortsviral #shortvideo,2023-10-21,135,0,Oct,2023
12,EXCELLENCE IN SERVICE || MID WEEK SERVICE || 18TH OCT. 2023,2023-10-19,67,0,Oct,2023
13,CLOVEN TONGUES || PST. INNOCENT ELEKE || 15TH OCT. 2023,2023-10-15,48,1,Oct,2023
14,FRESHERS ONBOARDING || PST. INNOCENT ELEKE || 15TH OCT. 2023,2023-10-15,134,0,Oct,2023
15,DEALING WITH ALL THREATS || PST. INNOCENT ELEKE || 14TH OCT. 2023,2023-10-14,98,0,Oct,2023
16,HOW YOU SHOULD RUN YOUR LIFE AS A CHRISTIAN.,2023-10-13,128,0,Oct,2023
17,EMPOWERED TO SERVE || PST. INNOCENT ELEKE || 11TH OCT. 2023,2023-10-12,45,0,Oct,2023
18,REND THE HEAVENS || PST. INNOCENT ELEKE || 8TH OCT. 2023,2023-10-08,160,0,Oct,2023
19,UNUSUAL VISITATION || PST. INNOCENT ELEKE || 7TH OCT. 2023,2023-10-07,103,0,Oct,2023
20,WHAT CLOSED YOUR HEAVENS? PST. INNOCENT ELEKE #JesusOnly #shorts #openheaven,2023-10-06,239,0,Oct,2023
21,How To Close Your Heavens With Little Things | Pst. Innocent Eleke,2023-10-06,98,0,Oct,2023
22,Why You Shouldn't Commit To Jesus | Pst. Innocent Eleke,2023-10-06,66,0,Oct,2023
23,MID WEEK SERVICE || 4TH OCT. 2023,2023-10-05,60,1,Oct,2023
24,WHAT IS GREATER THAN SUCCESS? #jesusonly #pstinnocenteleke #shorts,2023-10-03,109,0,Oct,2023
25,WHY YOU NEED TO FOLLOW WHO KNOW ROAD.  #jesusonly #pstinnocenteleke #shorts,2023-10-03,91,1,Oct,2023
26,SECURING AN OPEN HEAVEN || PST. INNOCENT ELEKE || 1ST OCT. 2023,2023-10-01,141,1,Oct,2023
27,PRAYER MEEETING || PST. INNOCENT ELEKE || 30TH SEPT. 2023,2023-09-30,93,0,Sep,2023
28,GOD'S WORD AS A SHIELD || PST. INNOCENT ELEKE || 27TH SEPT. 2023,2023-09-28,48,0,Sep,2023
29,FOLLOWING JESUS || PST INNOCENT ELEKE || SUNDAY SERVICE || 24TH SEPT. 2023,2023-09-24,159,2,Sep,2023
30,PRAYER MEETING || 23TH SEPT. 2023,2023-09-23,32,0,Sep,2023
31,STANDING FIRM ON GOD'S WORD || MID WEEK SERCIVE || 20TH SEPT. 2023,2023-09-21,88,0,Sep,2023
32,GRACE FOR RECOVERY || PST. INNOCENT ELEKE || SUNDAY SERVICE || 17TH SEPT. 2023,2023-09-17,131,0,Sep,2023
33,MID WEEK SERCIVE || PST. INNOCENT ELEKE,2023-09-14,55,0,Sep,2023
34,FAITHFUL RESILIENCE || PST. INNOCENT ELEKE,2023-09-10,148,0,Sep,2023
35,PRAYER MEETING || SAT. 9TH SEPT. 2023,2023-09-09,72,0,Sep,2023
36,HOW TO HANDLE ADVERSITIES || PST. INNOCENT ELEKE,2023-09-07,153,1,Sep,2023
37,IT IS DONE || PST. INNOCENT ELEKE,2023-09-03,109,0,Sep,2023
38,PRAYER MEETING (IT IS DONE) || PST. INNOCENT ELEKE,2023-09-02,39,0,Sep,2023
39,THE FRUIT OF THE SPIRIT (RECAP) || PST. INNOCENT ELEKE,2023-08-31,64,1,Aug,2023
40,THE HOLY SPIRIT | PST. INNOCENT ELEKE | SUN. 27TH AUG. 2023,2023-08-27,117,0,Aug,2023
41,IGNITED (Sermon Excerpt)- PST. INNOCENT ELEKE,2023-08-26,46,0,Aug,2023
42,THE FRUIT OF THE SPIRIT (SELF-CONTROL) 2 || PST. INNOCENT ELEKE,2023-08-24,80,0,Aug,2023
43,WARRING WITH LIGHT - Pst. Innocent Eleke,2023-08-23,80,0,Aug,2023
44,WHEN GOD WANTS TO FIGHT - Pst. Innocent Eleke #shorts #jesusonly,2023-08-23,92,1,Aug,2023
45,CHALLENGING INGRATITUDE || PST. INNOCENT ELEKE,2023-08-20,114,0,Aug,2023
46,PRAYER MEETING || MARVELLOUSLY HELPED,2023-08-19,75,0,Aug,2023
47,THE FRUIT OF THE SPIRIT ( SELF-CONTROL ) || PST. INNOCENT ELEKE,2023-08-17,121,0,Aug,2023
48,IGNITED  - REDEFINING NORMS BY FIRE  || PST. INNOCENT ELEKE,2023-08-13,103,0,Aug,2023
49,PRAYER MEETING || CHALLENGING THE STATUS QUO 2,2023-08-12,46,0,Aug,2023
50,MID WEEK SERVICE || THE FRUIT OF THE SPIRIT (GENTLENESS),2023-08-10,54,0,Aug,2023
51,UNTIL MY CHANGE COMES - BRO. SAMUEL LEKWA || SUNDAY SERVICE || 6TH AUG. 2023,2023-08-06,93,0,Aug,2023
52,PRAYER MEETING || SAT. 5TH AUG. 2023,2023-08-05,38,0,Aug,2023
53,FRUIT OF THE SPIRIT - GENTLENESS || MID WEEK SERVICE || WED. 2ND AUG. 2023,2023-08-03,44,0,Aug,2023
54,THE ESSENCE OF LIGHT || BRO. IKENNA NWOKOLO,2023-07-30,106,0,Jul,2023
55,"FAITHFULNESS || MR. KACHI ORJI || MID-WEEK SERVICE || WED. 26TH JULY, 2023",2023-07-27,57,0,Jul,2023
56,WARRING WITH LIGHT || PST. INNOCENT ELEKE,2023-07-23,100,0,Jul,2023
57,"PRAYER MEETING || SAT. 22ND JULY, 2023",2023-07-22,37,0,Jul,2023
58,MIDWEEK SERVICE || PST. INNOCENT ELEKE,2023-07-20,70,0,Jul,2023
59,THE DARKNESS COMPREHENDED IT NOT || PST. INNOCENT ELEKE,2023-07-16,103,0,Jul,2023
60,GOD'S WORD AS AN INSTRUMENT OF LIGHT || BRO. PHILEMON MBA,2023-07-15,38,0,Jul,2023
61,MID WEEK SERVICE,2023-07-13,46,0,Jul,2023
62,BRIGHTER LIGHT IN YOUR ACADEMICS || MRS. JULIANA OBI,2023-07-09,115,0,Jul,2023
63,"LORD, IINCREASE MY LIGHT 2 || BRO. SAMUEL LEKWA",2023-07-08,57,0,Jul,2023
64,MID WEEK SERVICE || THE FRUIT OF THE SPIRIT ( KINDNESS ),2023-07-06,55,0,Jul,2023
65,ROYAL PRIESTHOOD (PST INNOCENT ELEKE)  WAILING SONS AND DAUGHTERS,2023-07-05,57,0,Jul,2023
66,CHOSEN GENERATION (PST INNOCENT ELEKE) - WAILING SONS AND DAUGHTERS,2023-07-05,61,0,Jul,2023
67,DON'T SETTLE FOR LESS || PST. INNOCENT ELEKE,2023-07-02,121,2,Jul,2023
68,"LORD, INCREASE MY LIGHT || BRO. IKENNA NWOKOLO",2023-07-01,55,0,Jul,2023
69,FRUIT OF THE SPIRIT (LONGSUFFERING) || PST. INNOCENT ELEKE,2023-06-29,85,0,Jun,2023
70,THE RAIN OF GOD'S PRESENCE || PST. INNOCENT ELEKE,2023-06-25,117,0,Jun,2023
71,THE FRUIT OF THE SPIRIT ( PEACE ) || DR. MRS. NNENNA ELEKE,2023-06-22,57,0,Jun,2023
72,THE RAIN OF ANSWERS || PST. INNOCENT ELEKE,2023-06-18,116,0,Jun,2023
73,THE RAIN OF MERCY || BRO. INNOCENT ILOKE,2023-06-17,40,0,Jun,2023
